id,type,name,latitude_deg,longitude_deg,elevation_ft,iso_country,municipality,scheduled_service,iata_code,local_code
27174,medium_airport,Walgett Airport,-30.0328006744385,148.126007080078,439,AU,,no,WGE,
27175,medium_airport,Newcastle Airport,-32.7949981689453,151.833999633789,31,AU,Williamtown,yes,NTL,
27176,medium_airport,Wiluna Airport,-26.6291999816895,120.221000671387,1649,AU,,yes,WUN,
27177,medium_airport,Shellharbour Airport,-34.5611,150.789001,31,AU,,yes,WOL,
27178,medium_airport,Warren Airport,-31.7332992553711,147.802993774414,669,AU,,no,QRR,
27179,medium_airport,West Sale Airport,-38.090827,146.965335,72,AU,Sale,no,SXE,
27180,medium_airport,Winton Airport,-22.3635997772217,143.085998535156,638,AU,,yes,WIN,
27182,medium_airport,West Wyalong Airport,-33.9371986389,147.190994263,859,AU,West Wyalong,no,WWY,
27184,medium_airport,Wynyard Airport,-40.9989013671875,145.731002807617,62,AU,Burnie,yes,BWT,
325171,medium_airport,Yueyang Sanhe Airport,29.311699,113.281574,230,CN,Yueyang,yes,YYA,YYA
27186,medium_airport,Young Airport,-34.2555999755859,148.248001098633,1267,AU,,no,NGA,
27188,large_airport,Beijing Capital International Airport,40.0801010131836,116.584999084473,116,CN,Beijing,yes,PEK,
330820,large_airport,Beijing Daxing International Airport,39.509945,116.41092,98,CN,Beijing,yes,PKX,
327347,medium_airport,Chengde Puning Airport,41.1225,118.073889,,CN,Chengde,yes,CDE,
30829,medium_airport,Chifeng Airport,42.2350006103516,118.907997131348,,CN,Chifeng,yes,CIF,
318174,medium_airport,Qinhuangdao Beidaihe Airport,39.666389,119.058889,46,CN,Qinhuangdao,yes,BPE,
300513,medium_airport,Ordos Ejin Horo Airport,39.49,109.861388889,4557,CN,Ordos,yes,DSN,
300671,medium_airport,Erenhot Saiwusu International Airport,43.4225,112.096667,3301,CN,Erenhot,yes,ERL,
315854,medium_airport,Arxan Yi'ershi Airport,47.3106,119.9117,2925,CN,Arxan,yes,YIE,
300860,medium_airport,Handan Airport,36.5258333333,114.425555556,229,CN,Handan,yes,HDG,
27189,large_airport,Baita International Airport,40.851398,111.823997,3556,CN,Hohhot,yes,HET,
327443,medium_airport,Holingol Huolinhe Airport,45.487222,119.407222,,CN,Holingol,yes,HUO,
27190,medium_airport,Hulunbuir Hailar Airport,49.205002,119.824997,2169,CN,Hailar,yes,HLD,
